name,city,state,capacity,lat,lon
Saint Andrews Baptist Church,COLUMBIA,SC,448.0,34.03071684,-81.08860931
Shorecliffs Middle School,SAN CLEMENTE,CA,150.0,33.44290198,-117.63635511000001
Top Of The World Elementary School,LAGUNA BEACH,CA,350.0,33.5451459,-117.75267342000001
Del Paso High School-(Continuation),WALNUT,CA,0.0,34.02219127,-117.8661139
Del Paso Manor School,SACRAMENTO,CA,120.0,38.61312231,-121.36998944
DEL REY WOODS ELEMENTARY,SEASIDE,CA,140.0,36.59710312,-121.83867111
Fort Bragg High School,FORT BRAGG,CA,0.0,39.44172166,-123.7886261
First United Methodist Church Of Canoga Park,WEST HILLS,CA,90.0,34.20100347,-118.62122065
First United Methodist Church,EL CENTRO,CA,250.0,32.79061472,-115.56137637
JOHN A ROWLAND HIGH SCHOOL,ROWLAND HEIGHTS,CA,780.0,33.9819556,-117.88529644
"Millikan High School, Gold gym",LONG BEACH,CA,564.0,33.80731626,-118.1117727
Hummel Hall,ROSAMOND,CA,100.0,34.85631245,-118.16710799
Hummell Hall Kern County,ROSAMOND,CA,40.0,34.85631245,-118.16710799
Blazing Arrow Hook And Ladder Fire Company,TYRONE,PA,80.0,40.67177835,-78.2369221
Sherman Township Hall,TUSTIN,MI,1.0,44.11679327,-85.37761996
Kingswood Elementary School,CITRUS HEIGHTS,CA,136.0,38.66930296,-121.27720638
Kipp Adelante Preparatory Academy,SAN DIEGO,CA,4.0,32.72062948,-117.15932772000001
Kitt Carson Middle School,SACRAMENTO,CA,500.0,38.56041305,-121.44094594
El Sereno Senior Citizen Center,LOS ANGELES,CA,100.0,34.19006771,-118.66190597
FOURSQUARE CHURCH,CRESCENT CITY,CA,200.0,41.75857305,-124.20592951
Bridges Academy,SAN JOSE,CA,1020.0,37.32541907,-121.84655816
JACK CRIPPEN SENIOR CENTER,EL MONTE,CA,0.0,34.06516088,-118.03588791
Holly Drive Leadership Academy,SAN DIEGO,CA,4.0,32.70313766,-117.08715713000001
Washington Elementary School,SAN DIEGO,CA,303.0,32.72381308,-117.16663022
Washington Elementary School,EL CENTRO,CA,2.0,32.79151404,-115.54416334
First Presbyterian Church,CLINTON,SC,417.0,34.4703774,-81.87717083
Martha Dendy School,CLINTON,SC,200.0,34.47723922,-81.89630841
Trinity Evangelical Lutheran Church,SANTA BARBARA,CA,140.0,34.45369497,-119.75113784
C E King Middle School,HOUSTON,TX,210.0,29.84769,-95.214194
Sierra Madre Recreation Center,SIERRA MADRE,CA,140.0,34.1619639,-118.041068
Faith Community Church,WOFFORD HEIGHTS,CA,50.0,35.70864491,-118.45117684
Woh Hei Yuen Rec Center 1,San Francisco,CA,86.0,37.79558463,-122.41052301
Inactive Trinity Evangelical Free Church Inc.,REDLANDS,CA,1560.0,34.03668834,-117.14797828
Trinity Lutheran Church,POMONA,CA,0.0,34.05124836,-117.76302461
Valley Of The Moon Boys And Girls Club,SONOMA,CA,0.0,38.30268534,-122.47615553
Grand Avenue Baptist Church,FORT SMITH,AR,100.0,35.38567138,-94.38906051
Hilsdale High School,SAN MATEO,CA,0.0,37.53220918,-122.31518588
Hillsdale Middle School,EL CAJON,CA,75.0,32.74974053,-116.9293441
Hillside Christian Center,NAPA,CA,430.0,38.25038077,-122.27052555
Hillside Church,CORTE MADERA,CA,160.0,37.91994288,-122.49957388
Idyllwild Pines Camp,IDYLLWILD,CA,500.0,33.73413842,-116.72180755000001
Idyllwild School,Idyllwild ,CA,600.0,33.72495635,-116.72354325
Unicoi High School,Erwin,TN,400.0,36.13643441,-82.41211456
Las Palmas Middle School,COVINA,CA,0.0,34.09044082,-117.91661083
Valley View School District-Intermediate,ARCHBALD,PA,550.0,41.4932101,-75.55942458
